objid,dered_r,u_g_color,g_r_color,r_i_color,i_z_color,diff_u,diff_g1,diff_i,diff_z
1237648704602309042,18.64368,0.29091259999999997,0.21803670000000003,0.1830769,0.4038315,-0.023202900000000002,-0.06820869,-0.1047897,-0.08468056
1237648705676509211,19.29073,0.676899,0.1738853,0.4593887,0.1674652,0.01808167,0.003717422,0.005254745,0.005373001
1237648675068248659,18.88407,0.1093616,-0.1341629,0.20790479999999997,0.2610798,-0.07655907,-0.12284280000000002,-0.1724167,-0.1804161
1237668651462951859,17.89455,0.07004166,0.8933849,0.06931114,-4.742464,-2.864378,-3.772795,-3.655008,1.550344
1237648705139376600,19.80395,0.44484709999999994,0.892971,-1.00112,-0.4387932,-1.5009190000000001,-2.273136,-2.944561,-1.2447469999999998
1237648675068313818,18.132460000000002,0.11842349999999999,0.2388725,-0.02556038,-0.07396126,0.00043487550000000005,-0.01384163,-0.01567459,-0.01423264
1237648675068313902,18.88792,0.0647583,0.18540379999999998,0.003080368,-0.12298769999999999,0.01329422,0.01167297,0.0056133269999999996,0.003475189
1237648675605315758,17.846870000000003,0.0416584,-0.05393982,0.06089973,-0.03278732,0.0103569,0.0015087129999999999,0.00838089,0.003177643
1237648705139835162,18.13149,-0.08087921,0.267931,-0.03010559,-0.2008152,-0.01012993,0.009813309000000001,-0.001260757,-0.009866714
1237648705139835507,17.99486,0.5676174,0.9541683000000001,0.4405937,0.21106149999999999,-0.8476256999999999,-1.019466,-1.043051,-1.086552
1237648675068445044,19.06557,0.1271019,-0.09532738,0.1917953,-0.0242424,-0.03341103,-0.025384900000000002,-0.03168869,-0.01214981
1237648705139901062,18.5778,0.140234,0.07038498,0.02470779,0.1009159,-0.006746291999999999,0.0056324009999999996,0.009391785,0.01088905
1237648704603030092,19.18084,0.14943889999999999,0.1137428,0.4093533,0.1758366,-0.06916618,-0.1834984,-0.2119598,-0.2266769
1237648675068510288,17.70788,-0.007896423,-0.1491337,-0.2223072,-0.23329729999999999,-0.0054092409999999995,-0.02047539,-0.02761459,-0.01719093
1237648705676771813,18.96344,1.50005,0.1441956,0.08336639,-0.008636475,0.01062775,-0.02267456,-0.009975433,-0.002943039
1237648705139966533,19.14021,0.3343506,0.09888268,0.10977360000000001,-0.06438828,0.01618958,0.001834869,-0.007514954,-0.01749039
1237648705676837419,18.909689999999998,0.5681477,0.07032394,0.22555920000000002,0.05212021,-0.010900499999999999,-0.03853607,-0.03091812,-0.02952957
1237648705676902497,16.2325,0.48185920000000004,0.516119,0.4240952,0.15931420000000002,-0.8308085999999999,-1.404617,-1.345343,-1.409932
1237648705676902829,18.63571,0.08142089999999999,0.12703699999999998,0.02106094,0.01496696,0.01080132,-0.0012416839999999998,-0.0050354,-0.005558014
1237648705140097318,17.61361,0.3488407,0.47365,0.43387600000000004,0.02861404,-0.19989010000000001,-0.332859,-0.32962040000000004,-0.3789577
1237648597726658810,18.490370000000002,0.22850610000000002,-0.1728134,0.07841682,-0.17803,-0.01229095,0.00201416,-0.005500793,-0.02213478
1237648705676968324,17.71145,0.36314959999999996,0.36190409999999995,0.3842525,0.06679726,-0.2658596,-0.4029999,-0.392025,-0.4038906
1237655551815516534,18.68925,0.02440453,0.01260948,0.1477413,0.1562634,-0.01277542,-0.02565575,-0.01791763,-0.02383614
1237648705677099236,17.554879999999997,0.130579,0.22364810000000002,0.06612968,-0.06921577,-0.0030975340000000003,0.0002479553,0.004713058,0.002384186
1237648597189985019,18.38304,2.265549,1.745895,0.5752048000000001,0.4250813,-0.3240795,-1.1106719999999999,-1.1239620000000001,-1.088511
1237648703530467835,17.00705,3.37075,1.228596,-0.04581642,-0.05040169,0.04019928,-0.00910759,-0.0005893707,-0.001979828
1237648703530467958,18.61724,0.3827629,0.401413,0.06615829,0.06561279,0.00321579,0.001720428,-0.004838943,0.01958466
1237648596653900291,18.3991,1.056007,0.700922,0.5240517,0.2378864,-0.288065,-0.5108414000000001,-0.38938520000000004,-0.6182804000000001
1237655549132080073,19.76878,3.3431339999999996,0.9295139000000001,0.225771,0.34201240000000005,0.5491982,0.007686615,0.00970459,0.009315491
1237648703530401945,18.39912,0.10662269999999999,0.13078879999999998,-0.05581665,-0.08963966,-0.006908416999999999,-0.0005054473999999999,-0.004243851,-0.003623962
1237655549668885018,21.33804,-0.2082462,2.755545,0.9423655999999999,0.7153969,0.04092789,0.01758957,0.008945465,0.003742218
1237648672922009716,18.3285,0.10733410000000002,0.1921005,0.16343310000000003,-0.102869,-0.003921509,-0.004669189,0.0003089905,-0.0014534
1237648703530139978,19.05187,0.3599033,0.2614136,0.06870079,0.181303,0.01453781,-0.008209229,-0.01449394,-0.009563446
1237655549131882619,18.885720000000003,0.25295639999999997,0.1453953,0.1197529,0.14688110000000001,0.02503204,-0.02020073,-0.02910233,-0.02502251
1237648704066879631,17.919079999999997,0.1938667,0.31336590000000003,-0.1426029,-0.1323185,-0.01608849,-0.01230621,-0.01706886,-0.01140022
1237648704603620092,18.38403,0.3142242,0.3952751,0.08122444,0.23443979999999998,-0.1751213,-0.32236479999999995,-0.381237,-0.375967
1237648673995424170,18.30099,0.3345852,0.1533165,-0.03788948,0.1734753,0.008462906,-0.01236534,-0.01849937,-0.00346756
1237655550205362306,18.09861,0.1710968,-0.1687355,0.02894211,-0.0490799,-0.01043892,0.00261879,-0.01473999,-0.01098061
1237648703530009039,18.75955,0.16388889999999998,0.01932907,0.13593670000000002,0.3279724,-0.04145813,-0.1044979,-0.11631389999999998,-0.1049862
1237648703529943257,16.52088,0.05650711,0.1201782,0.2033024,-0.10525129999999999,-0.0074081419999999995,-0.09889603,-0.1007881,-0.10876849999999999
1237648673458421817,16.111420000000003,0.01988411,0.20686529999999997,0.369257,-0.04591751,-0.15463829999999998,-0.44389529999999994,-0.4495163,-0.5092297
1237648672921485934,18.25972,0.37746620000000003,0.2071266,-0.09608459,0.1254559,-0.0047416690000000004,0.003053665,-0.008996964,-0.0007858276
1237648704603292191,18.52734,0.08858871,0.18971629999999998,-0.05764389,-0.056816099999999994,-0.01177788,-0.01076126,-0.02295113,-0.02171516
1237668651463934870,19.67523,-0.1823425,0.2506123,-0.029745099999999997,-0.1805935,0.02968216,0.005805969,-0.007102966,0.007108688
1237648703529746482,17.9271,0.1836872,0.28878590000000004,0.02088356,-0.02005005,-0.007581711,-0.0007228851,0.01800346,0.006093979
1237648702992810003,17.971729999999997,-0.1575089,0.05245209,0.09580231,0.14537429999999998,-0.057905200000000004,-0.07359695,-0.08687782,-0.08136177
1237648705677033584,18.405079999999998,0.4021091,0.08459663,-0.1114674,0.2300625,-0.0193882,-0.02469063,-0.03795433,-0.03439903
1237648675068903790,19.05487,0.41121670000000005,0.277998,0.08987236,0.1397743,0.00255394,-0.001331329,0.0110569,0.02587891
1237648705677034056,19.166079999999997,0.05895996,-0.04652596,0.2298145,-0.0930233,-0.01291084,-0.0002994537,0.004089355,-0.01611328
1237648705677295761,17.58975,0.1203461,0.21397399999999997,-0.1727295,-0.1919231,0.0024986270000000002,-0.01908493,-0.02020645,-0.01586914
1237648705677230544,18.821460000000002,0.07838631,0.2372551,-0.002275467,-0.10795969999999999,-0.01623535,-0.0064678190000000005,-0.0027332309999999996,-0.02405739
1237648704603422862,18.677870000000002,0.03979111,0.38945959999999996,0.15848729999999997,0.3375931,-0.2215424,-0.40390970000000004,-0.4711189,-0.4692478
1237648674531901712,18.77674,0.267971,-0.13524629999999999,0.22693629999999998,0.1134434,-0.07000351,-0.09710884,-0.114399,-0.1169109
1237648705677361368,18.38326,0.1005478,0.06834412,-0.131588,0.08017731,-0.0007724762,-0.01140213,-0.005945206,-0.02507401
1237655551815909639,18.594739999999998,-0.06930923,0.19070050000000002,-0.01712608,-0.2838745,-0.01273918,-0.02616882,-0.02635765,-0.02293015
1237648705677296074,18.98558,0.155674,-0.01384735,0.24432559999999998,-0.02416992,-0.0064888,0.006229401,0.009199141999999999,0.0003452301
1237648705677295794,19.17829,1.8806900000000002,0.07201958,0.07406044,0.1168327,0.03091049,-2.479553e-05,-0.009799957,0.01791
1237648675606037663,20.263460000000002,2.932472,1.89172,0.5632534,0.1922188,0.6948185,-0.29170799999999997,-0.2556782,-0.242115
1237648705140621880,18.79962,0.07732964,0.1427555,0.25233649999999996,0.1720734,0.007780075,-0.004205704,-0.002382278,0.008829117
1237648705140752912,18.989620000000002,-0.1347942,0.34646420000000006,0.04411125,-0.1474037,0.01363754,0.01504326,0.01337433,0.02079391
1237648705140687491,18.76772,0.4012756,0.148653,-0.1606045,0.22956089999999998,0.004589081,-0.00169754,0.00038909910000000004,0.008686066
1237648704603881850,18.5959,-0.004022598,-0.006998061999999999,0.24588779999999996,0.1012459,-0.01752663,-0.002563477,-0.01582527,0.007488251
1237655551816172038,18.80134,-0.07856178,0.06641388,0.3077469,0.08874893,-0.01177979,0.004266739,0.004699707,-0.0003757477
1237648705677755138,19.08249,0.39550209999999997,0.16137120000000002,0.1388874,0.08544922,-0.00210762,-0.03018951,-0.03500938,0.0007801056
1237648705677755054,19.505329999999997,1.305164,0.08335686,0.12871359999999998,0.39529040000000004,-0.01238823,-0.03458023,-0.04476929,-0.01118279
1237648675069493430,18.46425,0.04230118,0.04184532,0.02998924,0.21895789999999998,-0.0017776489999999999,0.002407074,0.03562546,0.002714157
1237648674532754481,19.55979,2.942574,2.049984,0.4151745,0.3155155,0.1448326,0.0001163483,-0.007886886999999999,-0.0075702669999999994
1237648705677886067,18.4759,-0.03283119,0.5040607,0.02822495,0.003917694,-0.02148628,-0.0112114,-0.01647949,0.001115799
1237648675606430259,19.09269,0.3235283,0.08825302,0.2535229,-0.06719398,-0.01061249,0.00746727,0.0001983643,-0.007579803
1237655551279825321,18.560370000000002,0.2929611,-0.07521057,0.14855,-0.07911491,0.009426117,-0.01264954,-0.01762581,-0.0109539
1237648703532237668,18.83191,0.12624169999999998,0.1606026,-0.06815529,0.1585789,-0.01751518,-0.02054977,-0.01548767,-0.02631187
